date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:31:55	12958/12958	---M-Z	200	added ('OK')	text/html	etag:W/%226cebd9eea3f801dd3597b924e009f4e4%22	https://website52734.nicepage.io/Page-3.html?version=f9356d1d-1e3e-4d82-aa6b-38c4b454bc01	C:/My%20Web%20Sites/greetings/website52734.nicepage.io/Page-31e02.html	(from )
03:31:55	74/74	---M-Z	200	added ('OK')	text/plain	etag:W/%2297e07e502712fc44f26d1a821f9e53b7%22	https://website52734.nicepage.io/robots.txt		(from )
03:31:57	633216/633216	---M-Z	200	added ('OK')	text/css	etag:W/%22a381b7d9216ac43c3654ad42049cb393%22	https://website52734.nicepage.io/nicepage.css?version=d05a0eb9-c52a-4a59-a5f5-9ee29b2327c5	C:/My%20Web%20Sites/greetings/website52734.nicepage.io/nicepage5e65.css	(from https://website52734.nicepage.io/Page-3.html?version=f9356d1d-1e3e-4d82-aa6b-38c4b454bc01)
03:31:59	92629/92629	---MCZ	200	added ('OK')	application/javascript	etag:W/%22397754ba49e9e0cf4e7c190da78dda05%22	http://capp.nicepage.com/assets/jquery-1.9.1.min.js	C:/My%20Web%20Sites/greetings/capp.nicepage.com/assets/jquery-1.9.1.min.js	(from https://website52734.nicepage.io/Page-3.html?version=f9356d1d-1e3e-4d82-aa6b-38c4b454bc01)
03:31:59	12958/12958	---M-Z	200	added ('OK')	text/html	etag:W/%226cebd9eea3f801dd3597b924e009f4e4%22	https://website52734.nicepage.io/Page-3.html	C:/My%20Web%20Sites/greetings/website52734.nicepage.io/Page-3.html	(from https://website52734.nicepage.io/Page-3.html?version=f9356d1d-1e3e-4d82-aa6b-38c4b454bc01)
03:32:00	1825/1825	---M--	200	added ('OK')	image/png	etag:%221d08ce376e7e7891c6ba557e069be2d9%22	http://capp.nicepage.com/5dc798a315b527fd224af8ac680c0dae21908517/images/default-logo.png	C:/My%20Web%20Sites/greetings/capp.nicepage.com/5dc798a315b527fd224af8ac680c0dae21908517/images/default-logo.png	(from https://website52734.nicepage.io/Page-3.html?version=f9356d1d-1e3e-4d82-aa6b-38c4b454bc01)
03:32:00	11447/11447	---M-Z	200	added ('OK')	text/html	etag:W/%2271bc6b09afc062d6c2d8e9f27f4ed2cc%22	https://website52734.nicepage.io/Page-1.html	C:/My%20Web%20Sites/greetings/website52734.nicepage.io/Page-1.html	(from https://website52734.nicepage.io/Page-3.html?version=f9356d1d-1e3e-4d82-aa6b-38c4b454bc01)
03:32:00	6996/6996	---M-Z	200	added ('OK')	text/html	etag:W/%229c0f35509a02999fb6d2a7a091d92cab%22	https://website52734.nicepage.io/Page-2.html	C:/My%20Web%20Sites/greetings/website52734.nicepage.io/Page-2.html	(from https://website52734.nicepage.io/Page-3.html?version=f9356d1d-1e3e-4d82-aa6b-38c4b454bc01)
03:32:01	119372/119372	---MCZ	200	added ('OK')	application/javascript	etag:W/%224c0fea5e9850cbb05fac3cb499dfbbe7%22	http://capp.nicepage.com/bf9e5d79eaa97fca3ee6e327e15ddf41a5846b46/nicepage.js	C:/My%20Web%20Sites/greetings/capp.nicepage.com/bf9e5d79eaa97fca3ee6e327e15ddf41a5846b46/nicepage.js	(from https://website52734.nicepage.io/Page-3.html?version=f9356d1d-1e3e-4d82-aa6b-38c4b454bc01)
03:32:18	81675/81675	---M--	200	added ('OK')	image/jpeg	etag:%224edaff6bece543af0709fa69783a4b85%22	http://images03.nicepage.com/c461c07a441a5d220e8feb1a/4f39f3432567548a955518f1/photo1557166357b2838299bbff.jpg	C:/My%20Web%20Sites/greetings/images03.nicepage.com/c461c07a441a5d220e8feb1a/4f39f3432567548a955518f1/photo1557166357b2838299bbff.jpg	(from https://website52734.nicepage.io/Page-3.html?version=f9356d1d-1e3e-4d82-aa6b-38c4b454bc01)
